Method runtime information:
Start timestamp: Tue Jun 20 12:39:22 CEST 2023
End timestamp: Tue Jun 20 12:39:23 CEST 2023
##
Info input dataset:
|input.T|, |input.T.points|
23, 417
##
RT setting infos:
thresholdCellSize, |rt|, CellSize, tauRelevantCell, minPointsRC, tauRepresentativenessValue, |cell|, RepresentativenessMeasure, |cover RT|
1223, 6, 2.715237808513641, 0.05, 20.85, 0.08, 2, 0.43712264, 162
##
RT description:
lat_lon, time, DAY, CATEGORY, PRICE, RATING, WEATHER, mapping
40.6433894163286 -73.99602894294932, 05:00 - 05:00, {TUESDAY: 0.21428571428571427; FRIDAY: 0.21428571428571427; MONDAY: 0.14285714285714285; THURSDAY: 0.14285714285714285; SUNDAY: 0.14285714285714285; SATURDAY: 0.14285714285714285}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLEAR: 0.5714285714285714; CLOUDS: 0.2857142857142857; FOG: 0.14285714285714285}, {1858: 86; 1858: 87; 1861: 110; 1861: 111; 1861: 112; 1861: 116; 1861: 117; 1868: 182; 1869: 202; 1869: 203; 1869: 215; 1869: 216; 1862: 327; 1862: 328}, 
40.64785475502292 -73.99601071071841, 06:00 - 06:00, {SUNDAY: 0.36363636363636365; THURSDAY: 0.30303030303030304; TUESDAY: 0.21212121212121213; MONDAY: 0.12121212121212122}, {TRAVEL & TRANSPORT: 1.0}, {*-999: 1.0}, -999.0, {CLOUDS: 0.6923076923076923; CLEAR: 0.3076923076923077}, {1858: 78; 1858: 79; 1858: 80; 1858: 83; 1860: 94; 1860: 95; 1860: 99; 1860: 100; 1860: 106; 1860: 107; 1861: 118; 1861: 125; 1865: 140; 1865: 141; 1865: 146; 1866: 156; 1866: 157; 1866: 158; 1866: 168; 1866: 169; 1868: 174; 1868: 175; 1868: 188; 1868: 189; 1868: 197; 1868: 198; 1868: 199; 1869: 208; 1869: 209; 1870: 227; 1870: 230; 1870: 231; 1870: 232; 1863: 366; 1863: 367; 1867: 379; 1867: 380; 1867: 386; 1867: 387}, 
40.80319073225368 -73.90865468119256, 15:00 - 15:00, {MONDAY: 0.4; FRIDAY: 0.35; SUNDAY: 0.15; TUESDAY: 0.1}, {TRAVEL & TRANSPORT: 0.5454545454545454; PROFESSIONAL & OTHER PLACES: 0.13636363636363635; SHOP & SERVICE: 0.13636363636363635; OUTDOORS & RECREATION: 0.09090909090909091; FOOD: 0.09090909090909091}, {*-999: 1.0}, -999.0, {CLEAR: 0.6363636363636364; CLOUDS: 0.36363636363636365}, {1839: 24; 1840: 34; 1848: 62; 1848: 63; 1864: 130; 1865: 151; 1868: 178; 1868: 179; 1869: 220; 1869: 221; 1869: 222; 1869: 223; 1872: 255; 1872: 256; 1872: 257; 1837: 259; 1837: 260; 1863: 344; 1863: 345; 1871: 390; 1871: 407; 1871: 415}, 
40.78851469478085 -73.93374020114037, 19:00 - 19:00, {FRIDAY: 0.2608695652173913; THURSDAY: 0.21739130434782608; SATURDAY: 0.17391304347826086; SUNDAY: 0.13043478260869565; TUESDAY: 0.13043478260869565; WEDNESDAY: 0.08695652173913043}, {TRAVEL & TRANSPORT: 0.5416666666666666; OUTDOORS & RECREATION: 0.25; FOOD: 0.125; SHOP & SERVICE: 0.08333333333333333}, {*-999: 0.875; *1: 0.125}, 8.4, {CLOUDS: 0.782608695652174; CLEAR: 0.21739130434782608}, {1836: 6; 1836: 16; 1839: 26; 1840: 37; 1847: 57; 1848: 76; 1858: 81; 1858: 85; 1860: 103; 1861: 121; 1861: 122; 1861: 124; 1872: 253; 1872: 254; 1837: 266; 1837: 267; 1837: 270; 1850: 301; 1850: 307; 1850: 308; 1852: 317; 1862: 325; 1862: 331; 1871: 391}, 
40.81198035723785 -73.89678472511731, 20:00 - 20:00, {SATURDAY: 0.2222222222222222; MONDAY: 0.19444444444444445; FRIDAY: 0.19444444444444445; SUNDAY: 0.1111111111111111; TUESDAY: 0.1111111111111111; WEDNESDAY: 0.08333333333333333; THURSDAY: 0.08333333333333333}, {TRAVEL & TRANSPORT: 0.9090909090909091; OUTDOORS & RECREATION: 0.09090909090909091}, {*-999: 1.0}, -999.0, {CLOUDS: 0.5428571428571428; CLEAR: 0.34285714285714286; RAIN: 0.11428571428571428}, {1840: 42; 1847: 50; 1858: 82; 1860: 91; 1860: 92; 1860: 97; 1860: 98; 1861: 108; 1861: 115; 1864: 137; 1866: 166; 1868: 183; 1868: 184; 1868: 193; 1868: 194; 1869: 213; 1870: 224; 1870: 225; 1837: 271; 1837: 275; 1838: 295; 1850: 303; 1850: 309; 1852: 312; 1852: 318; 1862: 320; 1862: 323; 1862: 324; 1862: 336; 1863: 353; 1863: 354; 1863: 361; 1863: 362; 1863: 372; 1867: 375; 1871: 394}, 
40.64730445371984 -73.98257581968002, 21:00 - 21:00, {FRIDAY: 0.42105263157894735; SATURDAY: 0.3684210526315789; THURSDAY: 0.21052631578947367}, {TRAVEL & TRANSPORT: 0.7407407407407407; FOOD: 0.25925925925925924}, {*-999: 0.7407407407407407; *1: 0.25925925925925924}, -999.0, {CLOUDS: 0.6296296296296297; CLEAR: 0.2222222222222222; RAIN: 0.14814814814814814}, {1836: 7; 1836: 11; 1839: 20; 1839: 27; 1860: 93; 1864: 135; 1864: 138; 1866: 167; 1868: 185; 1868: 186; 1868: 187; 1868: 195; 1868: 196; 1869: 206; 1869: 207; 1870: 226; 1862: 326; 1862: 332; 1862: 337; 1863: 355; 1863: 363; 1863: 364; 1863: 365; 1867: 376; 1867: 377; 1867: 378; 1867: 383}, 
