tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
11642,43.73106706 10.3982256,2014-05-22 07:22:45,348,Thursday ,Al lavoro,Automobile,983.3217006450906,190
11644,43.72832699 10.38998226,2014-05-22 11:00:52,299,Thursday ,Verso casa,Automobile,1539.2963641314457,190
11646,43.73108435 10.39814542,2014-05-22 12:04:23,161,Thursday ,Al lavoro,Automobile,983.4883106198728,190
12632,43.73157469 10.39622255,2014-05-22 16:46:18,244,Thursday ,Verso casa,Automobile,747.7353292980235,190
12634,43.73267454 10.40278859,2014-05-23 07:19:23,262,Friday   ,Al lavoro,Automobile,1411.0919113849195,190
12636,43.73166195 10.39706894,2014-05-23 16:09:23,1407,Friday   ,"Svago (sport, escursioni, musei,...)",Automobile,8859.013687692232,190
12638,43.68595682 10.42850778,2014-05-23 18:51:38,1187,Friday   ,Verso casa,Automobile,9541.25882139055,190
12642,43.72448949 10.40940952,2014-05-23 19:26:36,161,Friday   ,Verso casa,Automobile,1388.317214785349,190
12644,43.72508147 10.40646737,2014-05-24 12:43:20,731,Saturday ,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,3632.396486287744,190
12646,43.71508743 10.42013723,2014-05-24 13:26:05,366,Saturday ,"Servizi (dottore, banca, parrucchiere,...)",Automobile,2534.4921427986915,190
12648,43.72588933 10.40397688,2014-05-24 13:38:42,115,Saturday ,Verso casa,Automobile,864.7186734986698,190
12650,43.73194869 10.40033825,2014-05-24 17:02:31,847,Saturday ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,4732.321247979942,190
12652,43.71212831 10.40546804,2014-05-24 17:21:10,385,Saturday ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,533.3805321679024,190
12654,43.71408078 10.40256844,2014-05-24 19:19:18,1193,Saturday ,Verso casa,Automobile,5945.181120210821,190
12902,43.72852568 10.39421886,2014-05-26 12:03:51,74,Monday   ,Al lavoro,Automobile,522.7675917718321,190
12904,43.73146858 10.39367302,2014-05-26 16:11:45,56,Monday   ,Verso casa,Automobile,407.471867040659,190
12906,43.73087456 10.39927031,2014-05-26 17:09:00,1152,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,4413.58418583422,190
13990,43.73191207 10.39608207,2014-05-27 11:00:53,105,Tuesday  ,Verso casa,Automobile,249.6522669927843,190
13992,43.73123143 10.3990228,2014-05-27 12:02:01,201,Tuesday  ,Al lavoro,Automobile,1044.8081543391222,190
13994,43.72921879 10.39292975,2014-05-27 16:09:19,224,Tuesday  ,Verso casa,Automobile,1080.70510530603,190
13996,43.73117194 10.39766239,2014-05-27 16:31:23,1399,Tuesday  ,"Shopping (abbigliamento, calzature, mobili...)",Automobile,15612.4611217206,190
13998,43.67497513 10.47364134,2014-05-27 17:32:32,1256,Tuesday  ,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,10743.511673906887,190
14000,43.71926546 10.40744291,2014-05-27 18:05:05,327,Tuesday  ,Verso casa,Automobile,2308.366488571441,190
14700,43.73092517 10.39821376,2014-05-28 07:06:52,244,Wednesday,Al lavoro,Automobile,1381.6348839775742,190
14702,43.72843482 10.39003736,2014-05-28 11:03:45,357,Wednesday,Verso casa,Automobile,1236.84291979729,190
14704,43.73387438 10.40056846,2014-05-28 11:55:47,581,Wednesday,Al lavoro,Automobile,3614.756183060535,190
14706,43.72939076 10.39198413,2014-05-28 16:09:41,567,Wednesday,Prendere o lasciare qualcuno,Automobile,2156.8210642357712,190
14708,43.72300281 10.40224807,2014-05-28 16:28:02,996,Wednesday,"Svago (sport, escursioni, musei,...)",Automobile,7850.4534826996305,190
14710,43.68589316 10.42852793,2014-05-28 19:11:13,1094,Wednesday,Verso casa,Automobile,8798.285383114875,190
14712,43.73153662 10.40014182,2014-05-28 21:48:27,187,Wednesday,Prendere o lasciare qualcuno,Piedi,217.208896504458,190
15034,43.7312066 10.39742423,2014-05-29 07:00:52,266,Thursday ,Al lavoro,Automobile,850.3525838307291,190
15036,43.72875502 10.39018101,2014-05-29 11:05:47,191,Thursday ,Verso casa,Automobile,1003.5149186505272,190
15038,43.73093716 10.40013832,2014-05-29 12:03:54,635,Thursday ,Al lavoro,Automobile,2360.275656541848,190
15040,43.72864573 10.38985817,2014-05-29 16:08:52,1911,Thursday ,"Shopping (abbigliamento, calzature, mobili...)",Automobile,7672.929400997122,190
15042,43.69452512 10.38380199,2014-05-29 18:02:23,1336,Thursday ,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,7340.846287258296,190
15044,43.72714054 10.41815365,2014-05-29 18:40:31,386,Thursday ,Verso casa,Automobile,2821.838466311274,190
16412,43.73074984 10.3985175,2014-05-30 07:08:36,118,Friday   ,Al lavoro,Automobile,895.7630787529083,190
16414,43.73111091 10.39729136,2014-05-30 12:07:46,162,Friday   ,Al lavoro,Automobile,891.2153387396759,190
16416,43.72897232 10.38871858,2014-05-30 14:23:08,808,Friday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Automobile,3366.6845503374097,190
16418,43.684902 10.42781445,2014-05-30 19:04:51,1061,Friday   ,Verso casa,Automobile,8406.370286952393,190
16420,43.73106046 10.39909035,2014-05-30 21:02:33,355,Friday   ,Prendere o lasciare qualcuno,Piedi,316.512928040299,190
17606,43.73272883 10.40288681,2014-06-04 07:04:16,279,Wednesday,Al lavoro,Automobile,1433.867490141933,190
17608,43.72863276 10.3899309,2014-06-04 10:58:51,276,Wednesday,Verso casa,Automobile,1518.129588681249,190
17610,43.73102226 10.40016,2014-06-04 11:12:58,47,Wednesday,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,248.42065119579047,190
17612,43.73160059 10.40290341,2014-06-04 12:02:35,663,Wednesday,Al lavoro,Automobile,1761.2452118104436,190
17614,43.72978026 10.39929429,2014-06-04 16:17:21,50,Wednesday,Verso casa,Automobile,301.68655555726934,190
17616,43.73103727 10.40019438,2014-06-04 16:26:32,1104,Wednesday,"Svago (sport, escursioni, musei,...)",Automobile,8454.305069590953,190
17618,43.68587792 10.4284996,2014-06-04 19:22:41,1012,Wednesday,Verso casa,Automobile,7873.348256239952,190
20512,43.72503745 10.39094294,2014-06-05 07:27:38,55,Thursday ,Al lavoro,Automobile,406.4784957377658,190
20514,43.72939991 10.3921328,2014-06-05 16:48:47,202,Thursday ,"Servizi (dottore, banca, parrucchiere,...)",Automobile,1083.417093874763,190
20516,43.73177428 10.40171401,2014-06-05 17:21:18,44,Thursday ,Verso casa,Automobile,262.2734973112301,190
21784,43.72434034 10.39146789,2014-06-06 07:17:17,375,Friday   ,Al lavoro,Automobile,2466.7233456774866,190
21786,43.72674134 10.38997288,2014-06-06 10:56:47,254,Friday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,267.2516808482989,190
21788,43.72842932 10.38999022,2014-06-06 13:21:15,155,Friday   ,Verso casa,Automobile,962.0683134894308,190
21790,43.72992923 10.39598134,2014-06-06 13:40:37,103,Friday   ,Al lavoro,Automobile,683.2561166885964,190
21794,43.72533814 10.39063953,2014-06-06 17:47:15,1133,Friday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,13634.973061585695,190
21796,43.72094925 10.51299416,2014-06-06 22:15:34,2264,Friday   ,Verso casa,Automobile,21255.98783961633,190
21798,43.72750054 10.39311012,2014-06-07 12:47:24,1453,Saturday ,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,7706.885013080593,190
21802,43.73107064 10.3979863,2014-06-07 18:59:46,124,Saturday ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,950.5509900062276,190
21804,43.73006123 10.39460484,2014-06-07 22:15:10,227,Saturday ,Verso casa,Automobile,1123.0621066876326,190
21806,43.72787593 10.40262016,2014-06-08 17:15:14,552,Sunday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,2863.096994818756,190
21808,43.72019689 10.40751167,2014-06-08 18:16:39,920,Sunday   ,Verso casa,Automobile,3026.8997790316885,190
21810,43.73091206 10.40086658,2014-06-08 18:39:16,755,Sunday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,3263.2785955884538,190
21812,43.71663221 10.40764185,2014-06-08 19:10:58,467,Sunday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,439.9442704569779,190
21814,43.71538687 10.40175501,2014-06-08 19:22:03,474,Sunday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,441.60176948379177,190
21816,43.71368696 10.40055768,2014-06-08 20:43:30,484,Sunday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,426.4863904841247,190
21818,43.71829313 10.40428627,2014-06-08 21:23:44,466,Sunday   ,Verso casa,Piedi,431.7587914305358,190
21820,43.72036898 10.41077767,2014-06-08 21:40:41,307,Sunday   ,Verso casa,Automobile,2079.9644351472525,190
22288,43.72958609 10.39560591,2014-06-09 07:14:40,551,Monday   ,Al lavoro,Automobile,2808.5692739627684,190
22290,43.72416601 10.39217296,2014-06-09 11:46:58,634,Monday   ,Al lavoro,Piedi,533.8214439966052,190
22292,43.72855907 10.38984425,2014-06-09 16:06:18,373,Monday   ,Verso casa,Automobile,1451.7441438457904,190
22294,43.73000852 10.39579608,2014-06-09 16:26:25,327,Monday   ,Prendere o lasciare qualcuno,Automobile,1457.719269118968,190
22296,43.72311771 10.40321806,2014-06-09 16:45:24,806,Monday   ,"Svago (sport, escursioni, musei,...)",Automobile,7801.584027866142,190
22298,43.68590397 10.43030018,2014-06-09 19:26:44,1030,Monday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,5644.115900237731,190
22880,43.71338024 10.40308014,2014-06-09 22:41:08,361,Monday   ,Verso casa,Piedi,328.3511264536979,190
22882,43.70988688 10.40507891,2014-06-09 22:57:22,668,Monday   ,Verso casa,Automobile,5622.290037782198,190
22884,43.72857471 10.38996411,2014-06-10 11:02:50,595,Tuesday  ,Verso casa,Automobile,1912.217763819272,190
22886,43.73123886 10.39754536,2014-06-10 12:20:34,113,Tuesday  ,Al lavoro,Automobile,940.0913533016882,190
23186,43.72907487 10.39283526,2014-06-10 16:07:37,204,Tuesday  ,Verso casa,Automobile,760.4147227547267,190
23188,43.72850807 10.38978686,2014-06-11 11:24:50,173,Wednesday,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,826.0750857213158,190
23190,43.73104962 10.39828234,2014-06-11 11:32:25,104,Wednesday,Verso casa,Automobile,555.738428016901,190
23192,43.73102562 10.39890713,2014-06-11 12:24:26,224,Wednesday,Al lavoro,Automobile,1019.6648783012694,190
23194,43.72891909 10.38924671,2014-06-11 16:07:45,722,Wednesday,Verso casa,Automobile,1620.4844625629412,190
23196,43.73139707 10.39837549,2014-06-11 18:16:42,642,Wednesday,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,4332.297150764172,190
23198,43.71060525 10.40495606,2014-06-11 18:31:14,284,Wednesday,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,470.6221604869343,190
23658,43.71763601 10.40341377,2014-06-11 20:58:01,1860,Wednesday,Verso casa,Automobile,6828.449399781892,190
23660,43.73111593 10.39833908,2014-06-12 07:14:10,343,Thursday ,Al lavoro,Automobile,1075.1054211683092,190
23662,43.72851475 10.38991802,2014-06-12 11:14:21,194,Thursday ,Verso casa,Automobile,1009.6056037197766,190
23664,43.73105997 10.39725023,2014-06-12 12:14:31,148,Thursday ,Al lavoro,Automobile,891.2712234849441,190
23666,43.72917587 10.39306451,2014-06-12 16:29:47,193,Thursday ,Verso casa,Automobile,1255.135809805298,190
23668,43.72493663 10.40818366,2014-06-12 19:32:54,171,Thursday ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,1100.4562364113349,190
23670,43.7183544 10.40550239,2014-06-12 19:44:25,177,Thursday ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,225.70970700530023,190
24814,43.71828099 10.404231,2014-06-12 22:02:26,733,Thursday ,Verso casa,Automobile,2713.8073792299574,190
24816,43.7315531 10.39657269,2014-06-13 11:06:11,155,Friday   ,Verso casa,Automobile,235.1409095503689,190
24818,43.73093423 10.39978983,2014-06-13 12:06:00,268,Friday   ,Al lavoro,Automobile,1292.8301230894958,190
24820,43.73153078 10.39623857,2014-06-13 16:05:53,252,Friday   ,Verso casa,Automobile,243.7742567728542,190
24822,43.73064889 10.40188418,2014-06-13 16:15:48,478,Friday   ,Prendere o lasciare qualcuno,Automobile,3040.8211369014152,190
24824,43.71859513 10.42568386,2014-06-13 16:39:17,390,Friday   ,"Svago (sport, escursioni, musei,...)",Automobile,5131.579059959091,190
25534,43.68571738 10.42835629,2014-06-13 19:31:41,1137,Friday   ,Verso casa,Automobile,7740.743209015414,190
25536,43.72881806 10.39462737,2014-06-16 07:11:51,569,Monday   ,Al lavoro,Automobile,3147.888422169664,190
25538,43.72833877 10.39034534,2014-06-16 11:05:38,216,Monday   ,Verso casa,Automobile,1010.3094889798816,190
25540,43.73090533 10.39702396,2014-06-16 12:02:49,166,Monday   ,Al lavoro,Automobile,839.6865683773325,190
25542,43.72889259 10.39079663,2014-06-16 16:27:12,301,Monday   ,Verso casa,Automobile,753.2162175637233,190
25544,43.73127276 10.39891202,2014-06-16 18:29:44,1501,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,7858.537425027361,190
25552,43.71496108 10.41849556,2014-06-16 18:59:37,341,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,437.3363489331632,190
25554,43.71495183 10.42128171,2014-06-17 00:05:50,379,Tuesday  ,Verso casa,Automobile,3164.260312619242,190
25556,43.7311259 10.39850726,2014-06-17 13:02:22,1097,Tuesday  ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,3102.0946001013563,190
25558,43.72241729 10.3978478,2014-06-17 13:57:11,2500,Tuesday  ,Prendere o lasciare qualcuno,Automobile,10250.8535273291,190
25560,43.7308475 10.40128752,2014-06-17 15:07:01,989,Tuesday  ,"Svago (sport, escursioni, musei,...)",Automobile,8442.276806530355,190
25892,43.68461846 10.42763668,2014-06-17 19:10:39,824,Tuesday  ,Verso casa,Automobile,7600.048956561544,190
25894,43.73062089 10.39718779,2014-06-18 07:10:23,231,Wednesday,Al lavoro,Automobile,824.4559739768888,190
25896,43.72862517 10.38969367,2014-06-18 11:06:54,171,Wednesday,Verso casa,Automobile,987.7662046750642,190
25898,43.73076667 10.3968977,2014-06-18 12:06:50,193,Wednesday,Al lavoro,Automobile,843.1424953310718,190
25900,43.72916665 10.39047435,2014-06-18 16:08:51,285,Wednesday,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,1797.9824165318323,190
26344,43.7287622 10.4062227,2014-06-18 16:23:58,130,Wednesday,Verso casa,Automobile,804.6080284776884,190
26346,43.72782076 10.39366815,2014-06-19 07:15:58,218,Thursday ,Al lavoro,Automobile,811.6385464451932,190
26348,43.72839338 10.39004551,2014-06-19 11:01:56,401,Thursday ,Verso casa,Automobile,1511.0157821788748,190
26350,43.73048562 10.39666626,2014-06-19 12:02:36,113,Thursday ,Al lavoro,Automobile,832.9502088562415,190
26352,43.73120154 10.39761646,2014-06-19 16:12:38,732,Thursday ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,2989.366991817148,190
26354,43.72159297 10.4225006,2014-06-19 16:28:50,577,Thursday ,"Svago (sport, escursioni, musei,...)",Automobile,5596.651062636302,190
26356,43.68595652 10.43048621,2014-06-19 18:43:54,1158,Thursday ,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,9845.255263440866,190
26358,43.71853295 10.40775645,2014-06-19 19:14:34,457,Thursday ,Verso casa,Automobile,2359.2504267200443,190
28672,43.72860369 10.3890512,2014-06-25 11:12:24,350,Wednesday,Verso casa,Automobile,1529.93605480868,190
28674,43.73097702 10.39821545,2014-06-25 12:13:10,147,Wednesday,Al lavoro,Automobile,990.0874862542902,190
28676,43.72866231 10.38920475,2014-06-25 16:17:21,347,Wednesday,Verso casa,Automobile,1586.955368916906,190
28678,43.73118565 10.40032553,2014-06-25 16:42:49,591,Wednesday,"Shopping (abbigliamento, calzature, mobili...)",Automobile,3591.9741092453382,190
28680,43.71057688 10.41940115,2014-06-25 17:16:03,284,Wednesday,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,1142.9756543922565,190
28682,43.72080347 10.40321955,2014-06-25 20:19:51,211,Wednesday,"Svago (sport, escursioni, musei,...)",Piedi,319.02212295497804,190
29008,43.72013662 10.40390227,2014-06-25 22:20:41,362,Wednesday,Verso casa,Automobile,1542.3867821249282,190
29010,43.72752854 10.39231414,2014-06-26 07:19:53,63,Thursday ,Al lavoro,Automobile,280.91701542767686,190
