tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
11636,43.68826666666667 10.495456666666666,2014-05-23 06:35:03,1001,Friday   ,Al lavoro,Automobile,8652.833754977994,196
11708,43.67904166666667 10.434196666666667,2014-05-23 15:11:07,339,Friday   ,Prendere o lasciare qualcuno,Automobile,3468.610744774228,196
11710,43.704321666666665 10.412043333333335,2014-05-23 15:34:01,307,Friday   ,Prendere o lasciare qualcuno,Automobile,3816.3154105547,196
11714,43.707423333333324 10.40204,2014-05-23 15:44:39,136,Friday   ,Prendere o lasciare qualcuno,Automobile,700.1616442895355,196
11716,43.70982666666667 10.411188333333333,2014-05-23 16:14:09,1302,Friday   ,Prendere o lasciare qualcuno,Automobile,8281.82536592273,196
11752,43.763535000000005 10.431645,2014-05-23 17:02:50,2120,Friday   ,Al lavoro,Automobile,13326.158076553802,196
11754,43.67880333333333 10.435131666666667,2014-05-23 17:44:03,779,Friday   ,Verso casa,Automobile,7403.030006025649,196
11836,43.68845666666666 10.495375000000001,2014-05-24 09:02:08,687,Saturday ,Al lavoro,Automobile,7911.4374828227155,196
11838,43.67867666666666 10.435145,2014-05-24 12:05:47,687,Saturday ,Verso casa,Automobile,7721.974813845571,196
11884,43.683595 10.495923333333334,2014-05-24 13:31:39,264,Saturday ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,1562.8508173067758,196
11886,43.67816500000001 10.516174999999999,2014-05-24 14:07:56,363,Saturday ,Verso casa,Automobile,2483.690493844516,196
12524,43.68842500000001 10.495525000000002,2014-05-26 06:32:27,927,Monday   ,Al lavoro,Automobile,7884.651093051765,196
12846,43.67892833333334 10.434274999999998,2014-05-26 11:00:32,687,Monday   ,Verso casa,Automobile,8543.217093337798,196
12848,43.774698333333326 11.097638333333334,2014-05-26 16:35:32,808,Monday   ,Verso casa,Automobile,9779.139731038991,196
13600,43.68609166666667 10.493768333333332,2014-05-27 06:18:58,1008,Tuesday  ,Al lavoro,Automobile,8531.996104451908,196
13602,43.67914833333332 10.435565,2014-05-27 13:49:34,671,Tuesday  ,Prendere o lasciare qualcuno,Automobile,11637.55935216128,196
13604,43.66525166666667 10.539170000000002,2014-05-27 15:22:01,893,Tuesday  ,Verso casa,Automobile,7324.521176591438,196
14342,43.68843166666667 10.495263333333332,2014-05-28 06:29:37,1162,Wednesday,Al lavoro,Automobile,8298.461028437265,196
14344,43.67878 10.435206666666666,2014-05-28 15:38:52,743,Wednesday,"Studio formazione (scuola, università, corsi, seminari,...)",Automobile,21217.1896119289,196
14346,43.67905833333332 10.435131666666667,2014-05-28 17:25:28,972,Wednesday,Verso casa,Automobile,8157.645297783986,196
15020,43.68829833333333 10.495384999999999,2014-05-30 06:35:52,967,Friday   ,Al lavoro,Automobile,8567.346892336356,196
15414,43.67876833333333 10.43531,2014-05-30 15:19:33,1673,Friday   ,Verso casa,Automobile,13225.4783223458,196
15416,43.67072666666666 10.558198333333333,2014-05-30 15:53:03,307,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,2439.849150260162,196
15418,43.69106 10.465631666666665,2014-05-30 17:19:27,875,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Automobile,5935.566315770831,196
15420,43.70778166666667 10.401274999999998,2014-05-30 17:56:23,1353,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Treno,31901.539697204465,196
15422,43.70498666666667 10.860521666666667,2014-05-30 18:24:09,2692,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Treno,37888.45235126131,196
17364,43.68592333333333 10.494431666666665,2014-06-04 06:40:01,720,Wednesday,Al lavoro,Automobile,7342.807376515117,196
17366,43.68696166666667 10.441571666666668,2014-06-04 16:18:09,1558,Wednesday,Verso casa,Automobile,11148.375910657827,196
17368,43.67515 10.553030000000001,2014-06-04 16:52:48,261,Wednesday,"Shopping (supermercato, fornaio, macellaio,...)",Automobile,1954.236317218372,196
17370,43.66480166666667 10.534031666666666,2014-06-04 17:18:21,1180,Wednesday,Verso casa,Automobile,7111.184830760451,196
