tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
12850,43.7197050685063 10.44614028185606,2014-05-26 06:43:00,529,Monday   ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,3142.7937533939285,230
12852,43.706086655147374 10.418751994147897,2014-05-26 06:57:07,1169,Monday   ,Al lavoro,Piedi,1312.5296278993997,230
13904,43.706515305675566 10.419134628027678,2014-05-26 17:38:29,1056,Monday   ,Verso casa,Automobile,10842.364906331117,230
13906,43.69621239602566 10.515853073447943,2014-05-27 06:22:43,1300,Tuesday  ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,10585.743354176951,230
13908,43.7064762879163 10.419195564463735,2014-05-27 06:46:32,600,Tuesday  ,Al lavoro,Bici,1152.8184114238595,230
13910,43.70663851965219 10.419112164527178,2014-05-27 17:53:29,1026,Tuesday  ,Verso casa,Automobile,10794.201573435936,230
17428,43.69625367689878 10.515692811459303,2014-05-28 06:15:55,1341,Wednesday,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,10971.381503711911,230
17430,43.70654912665486 10.419077295809984,2014-05-28 06:44:16,389,Wednesday,Al lavoro,Bici,924.0501595515062,230
17434,43.7100235093385 10.409066788852215,2014-05-28 06:51:50,455,Wednesday,"Spostamento incompleto (batteria scarica, crash app, errore di connessione GPS)",Piedi,552.3555205390388,230
26880,43.69683030992746 10.515284445136786,2014-06-18 06:25:58,1338,Wednesday,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,10588.713566180702,230
26882,43.706572973169386 10.41917921975255,2014-06-18 06:49:20,373,Wednesday,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Bici,975.0025462540156,230
37426,43.7099336553365 10.40969937108457,2014-06-18 06:57:46,396,Wednesday,Al lavoro,Piedi,487.898415104101,230
