tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
14492,43.7083759205823 10.39793260396495,2014-05-28 05:28:34,938,Wednesday,Verso casa,Piedi,1522.6174884040904,373
14494,43.71778330769736 10.3897615894772,2014-05-28 06:33:33,357,Wednesday,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,485.7689109443601,373
14500,43.720788 10.388193,2014-05-28 10:48:13,350,Wednesday,Verso casa,Piedi,468.31869502904345,373
15984,43.71439530052592 10.38828746416642,2014-05-28 14:09:21,1835,Wednesday,Verso casa,Treno,21825.12615033197,373
16000,43.718011 10.390115,2014-06-01 07:05:24,1045,Sunday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Bici,3634.225226521907,373
16002,43.719586 10.423775,2014-06-01 11:08:04,323,Sunday   ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,1196.979986395876,373
16284,43.725241 10.417834,2014-06-01 11:37:19,929,Sunday   ,Verso casa,Bici,3199.318600227105,373
21330,43.717999 10.390096,2014-06-02 07:46:18,330,Monday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Piedi,451.0058609946722,373
27404,43.56128131509156 10.3193866275347,2014-06-02 13:03:04,653,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,798.1464916606748,373
27422,43.56164165310894 10.3282615542508,2014-06-02 14:00:44,293,Monday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Motociclo,1013.9948245438428,373
27426,43.56183661617671 10.33773930744299,2014-06-02 14:12:40,283,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Motociclo,2071.210193949169,373
27430,43.54770321868692 10.33850055188903,2014-06-02 14:22:54,346,Monday   ,Prendere o lasciare qualcuno,Motociclo,1544.134266942558,373
27434,43.54768486231895 10.33858428710172,2014-06-02 14:31:11,1937,Monday   ,"Studio formazione (scuola, università, corsi, seminari,...)",Automobile,23474.433074408586,373
27436,43.71812088884759 10.39061235264911,2014-06-02 21:47:45,1610,Monday   ,Verso casa,Automobile,20256.52394476292,373
21334,43.5534482589397 10.33365681768426,2014-06-02 22:39:46,525,Monday   ,Prendere o lasciare qualcuno,Motociclo,3848.39827632024,373
21342,43.56034690052601 10.31465915032692,2014-06-07 07:50:08,859,Saturday ,Prendere o lasciare qualcuno,Automobile,4753.331791378403,373
27440,43.56158486571492 10.32835576684245,2014-06-07 20:24:06,1647,Saturday ,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,14452.674085316808,373
27382,43.714655851986 10.39607785643115,2014-06-07 23:06:20,1486,Saturday ,Verso casa,Automobile,19742.73427828752,373
27472,43.718021 10.39015,2014-06-14 09:06:39,534,Saturday ,"Svago (sport, escursioni, musei,...)",Bici,2013.838318564627,373
27476,43.729931 10.384261,2014-06-14 10:58:18,239,Saturday ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,923.3946309365756,373
27474,43.727406 10.390459,2014-06-14 11:11:45,177,Saturday ,Verso casa,Bici,742.3812517601339,373
27470,43.56147577524515 10.32768035308488,2014-06-16 05:39:31,615,Monday   ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Motociclo,2025.82316317892,373
27446,43.55823172726069 10.33759564162263,2014-06-16 05:56:25,29,Monday   ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Piedi,253.9752482491577,373
27448,43.71024328288036 10.39027405903711,2014-06-16 06:15:35,615,Monday   ,Verso casa,Treno,2007.888060494413,373
27386,43.718063 10.390059,2014-06-16 10:32:02,465,Monday   ,"Svago (sport, escursioni, musei,...)",Bici,2065.362653737241,373
27388,43.731975 10.386863,2014-06-16 12:27:29,182,Monday   ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,548.2020095317077,373
27392,43.72766 10.389928,2014-06-16 12:34:44,381,Monday   ,Verso casa,Bici,1221.8603245402012,373
27450,43.71809259992439 10.3898723144181,2014-06-16 13:27:56,453,Monday   ,"Svago (sport, escursioni, musei,...)",Piedi,840.4998532601846,373
27452,43.71094011240054 10.38455382921769,2014-06-16 13:39:39,1742,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Treno,19047.99713145118,373
27396,43.718469 10.389611,2014-06-19 11:23:02,434,Thursday ,"Svago (sport, escursioni, musei,...)",Bici,1975.4567687236588,373
27462,43.729906 10.384537,2014-06-19 13:21:10,830,Thursday ,Verso casa,Bici,2220.6947761505244,373
27402,43.716268 10.397066,2014-06-19 14:56:49,265,Thursday ,"Svago (sport, escursioni, musei,...)",Piedi,314.9488629612165,373
27408,43.718003 10.390121,2014-06-21 09:17:13,638,Saturday ,"Svago (sport, escursioni, musei,...)",Bici,2056.925696946097,373
27410,43.730213 10.38395,2014-06-21 10:57:45,337,Saturday ,"Shopping (supermercato, fornaio, macellaio,...)",Bici,894.2254275576215,373
27414,43.727034 10.390518,2014-06-21 11:09:31,483,Saturday ,Verso casa,Bici,1096.8767493774449,373
