tid,coordinates,time_start,duration,weekday,activity,transportation,distance,label
20458,43.71446981560439 10.402050213888288,2014-06-05 16:19:54,406,Thursday ,"Spostamento incompleto (batteria scarica, crash app, errore di connessione GPS)",Piedi,674.5378374342497,558
20460,43.71785497292876 10.397581150755286,2014-06-05 18:08:13,311,Thursday ,"Spostamento incompleto (batteria scarica, crash app, errore di connessione GPS)",Piedi,512.7321806020086,558
20462,43.716124570928514 10.402295468375087,2014-06-05 18:16:25,842,Thursday ,Verso casa,Piedi,1500.399731902233,558
20854,43.70721263810992 10.407894998788834,2014-06-06 09:42:16,702,Friday   ,"Servizi (dottore, banca, parrucchiere,...)",Piedi,1386.9705749985442,558
20856,43.71607951819897 10.401990953832865,2014-06-06 10:12:11,669,Friday   ,Verso casa,Piedi,1219.0681678052638,558
20858,43.7066544033587 10.40804285556078,2014-06-06 14:33:55,1366,Friday   ,"Svago (sport, escursioni, musei,...)",Piedi,2878.588720707942,558
20860,43.72810164000839 10.408473936840892,2014-06-06 15:43:52,764,Friday   ,"Spostamento incompleto (batteria scarica, crash app, errore di connessione GPS)",Piedi,1427.7482266147424,558
20862,43.71843634173274 10.406751539558172,2014-06-06 18:02:58,738,Friday   ,Verso casa,Piedi,1480.464396279161,558
24032,43.70715145021677 10.4075410310179,2014-06-13 17:44:00,641,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,1177.3607357172225,558
24034,43.71306563727558 10.4002985637635,2014-06-13 18:53:25,602,Friday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,538.7806830951886,558
26718,43.71409686282277 10.40051942691207,2014-06-13 21:00:40,597,Friday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,546.125948975362,558
26722,43.71638105716556 10.4014624748379,2014-06-13 22:02:50,1077,Friday   ,Verso casa,Piedi,1790.1166818763434,558
26724,43.70862423442304 10.408555325120687,2014-06-16 19:29:10,791,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,1281.197152529526,558
26726,43.71655711904168 10.400178115814924,2014-06-16 22:04:50,701,Monday   ,"Spostamento incompleto (batteria scarica, crash app, errore di connessione GPS)",Piedi,467.5060595604892,558
26730,43.71467990800738 10.396824851632118,2014-06-16 23:18:20,853,Monday   ,Verso casa,Piedi,1631.5498480174074,558
26738,43.72035663574934 10.408156597986817,2014-06-20 09:19:23,1037,Friday   ,Verso casa,Piedi,1816.031380529011,558
26740,43.71158853638917 10.391672076657414,2014-06-20 14:36:37,845,Friday   ,Verso casa,Piedi,1724.1365251967802,558
29368,43.70995067059994 10.406240914016962,2014-06-20 15:01:01,569,Friday   ,"Servizi (dottore, banca, parrucchiere,...)",Piedi,1107.7705680561803,558
29376,43.707237616181374 10.407801372930408,2014-06-27 16:41:49,752,Friday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,1465.4451115114489,558
29380,43.71677856892347 10.40190420113504,2014-06-27 17:01:34,1061,Friday   ,"Svago (sport, escursioni, musei,...)",Piedi,1849.4075813740667,558
29382,43.722314606420696 10.407965071499348,2014-06-27 22:05:13,1168,Friday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,1402.6743122646762,558
31072,43.707976690493524 10.40734313428402,2014-06-30 09:15:45,831,Monday   ,"Attività Sociali (bar, amici, parenti, feste,...)",Piedi,1641.60061450109,558
31074,43.71995023917407 10.408026007935405,2014-06-30 11:32:58,415,Monday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Piedi,433.82379220352624,558
31076,43.71651474852115 10.406832424923778,2014-06-30 13:24:14,761,Monday   ,Verso casa,Piedi,1448.688455464585,558
31078,43.70619566179812 10.40844258852303,2014-06-30 17:50:30,592,Monday   ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,4302.607967249703,558
31080,43.69620631914586 10.44611781835556,2014-06-30 18:06:42,566,Monday   ,Prendere o lasciare qualcuno,Automobile,3851.466893788769,558
31084,43.698735809884965 10.414612423628569,2014-06-30 18:32:16,2845,Monday   ,"A mangiare fuori (ristorante, fast food, pizzeria)",Automobile,29200.38323846348,558
31086,43.87672464363277 10.38339058868587,2014-06-30 22:20:52,3665,Monday   ,"Sosta (cambio mezzo, traffico, sosta tecnica,...)",Automobile,38399.77155672293,558
31088,43.6960703227669 10.446211779490113,2014-06-30 23:28:49,310,Monday   ,Verso casa,Automobile,3428.654095195961,558
